1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C,C,C,B,C,R,B,P,R,B,Y,Y,B,P,R,P,P,O,G,G,Y,G,O,Y,G,O,O
C,C,C,O,C,B,O,O,B,G,R,B,O,P,B,P,P,Y,G,R,R,G,Y,Y,G,P,Y
C,C,C,O,C,B,O,O,G,P,Y,Y,O,B,B,R,R,G,P,P,Y,P,B,Y,R,G,G
C,C,C,O,C,B,O,O,R,P,Y,Y,O,B,B,G,R,R,P,P,Y,P,B,Y,G,G,G
C,C,C,O,C,B,G,G,G,P,Y,Y,O,O,B,G,O,B,P,P,Y,P,R,Y,R,R,B
C,C,C,O,C,B,R,R,B,O,O,B,O,Y,B,P,R,G,Y,Y,G,P,Y,G,P,P,G
C,C,C,O,C,B,R,R,G,O,O,B,O,Y,B,P,R,G,Y,Y,B,P,Y,G,P,P,G
C,C,C,O,C,Y,O,O,Y,B,B,G,O,B,B,P,Y,Y,G,G,G,P,R,R,P,P,R
C,C,C,O,C,Y,O,O,Y,B,B,G,O,B,B,P,Y,Y,R,R,G,P,R,G,P,P,G
C,C,C,O,C,Y,O,O,Y,G,R,B,O,R,B,P,Y,Y,G,G,G,P,R,B,P,P,B
C,C,C,O,C,Y,O,Y,Y,P,B,B,P,P,Y,O,O,G,B,B,G,P,R,G,R,R,G
C,C,C,O,C,Y,O,Y,Y,P,B,B,P,P,Y,O,O,G,B,B,R,P,R,R,G,G,G
C,C,C,O,C,Y,O,Y,Y,P,B,B,B,B,Y,O,O,G,P,P,G,P,R,G,R,R,G
C,C,C,O,C,Y,O,Y,Y,P,B,B,B,B,Y,O,O,G,P,P,R,P,R,R,G,G,G
C,C,C,O,C,Y,O,Y,Y,P,R,R,P,P,Y,O,O,G,B,B,R,P,B,B,G,G,G
C,C,C,O,C,Y,O,Y,Y,P,R,R,B,B,Y,O,O,G,P,P,R,P,B,B,G,G,G
C,C,C,O,C,G,O,O,G,P,Y,Y,O,B,B,B,B,G,P,P,Y,P,R,Y,R,R,G
C,C,C,O,C,G,G,G,G,O,O,Y,O,Y,Y,P,R,R,B,B,Y,P,B,B,P,P,R
C,C,C,O,C,G,G,G,G,O,O,R,O,Y,R,P,Y,Y,B,B,R,P,B,B,P,P,Y
C,C,C,O,C,G,R,R,G,O,O,Y,O,Y,Y,P,R,G,B,B,Y,P,B,B,P,P,G
C,C,C,O,C,R,O,O,R,G,G,G,O,Y,R,P,Y,Y,B,B,G,P,B,B,P,P,Y
C,C,C,O,C,R,B,B,R,O,O,G,O,Y,R,P,B,B,Y,Y,G,P,Y,G,P,P,G
