1,2,3,4
1,2,3,6
1,2,4,7
1,2,5,8
1,4,7,8
2,3,5,8
2,3,6,9
2,5,7,8
2,5,8,9
3,4,5,6
3,6,8,9
4,5,6,7
4,5,6,9
6,7,8,9
1,2,3,10
1,2,3,12
1,4,7,10
1,4,7,16
3,6,9,12
3,6,9,18
7,8,9,18
1,2,10,19
1,2,11,20
1,4,10,19
1,4,13,22
2,3,11,20
2,3,12,21
3,6,12,21
3,6,15,24
4,7,13,22
4,7,16,25
6,9,15,24
6,9,18,27
7,8,16,25
7,8,17,26
8,9,17,26
8,9,18,27
1,10,11,12
1,10,13,16
1,10,19,20
1,10,19,22
2,11,19,20
2,11,20,21
3,10,11,12
3,12,15,18
3,12,20,21
3,12,21,24
4,13,19,22
4,13,22,25
6,15,21,24
6,15,24,27
7,10,13,16
7,16,17,18
7,16,22,25
7,16,25,26
8,17,25,26
8,17,26,27
9,12,15,18
9,16,17,18
9,18,24,27
9,18,26,27
10,11,12,13
10,11,12,19
10,11,12,21
10,11,13,16
10,13,16,17
10,13,16,19
10,13,16,25
10,19,20,21
10,19,22,25
12,15,18,21
12,15,18,27
12,19,20,21
12,21,24,27
13,16,17,18
16,17,18,27
16,19,22,25
16,25,26,27
18,21,24,27
18,25,26,27
19,20,21,22
19,20,21,24
19,20,22,25
19,20,23,26
19,22,23,24
19,22,25,26
20,21,23,26
20,21,24,27
20,23,25,26
20,23,26,27
21,22,23,24
21,24,26,27
22,23,24,25
22,23,24,27
22,25,26,27
24,25,26,27
